N,M,NIST_pass_status_1,NIST_pass_status_2,NIST_pass_status_3,NIST_pass_status_4,NIST_pass_status_5,NIST_pass_status_6,NIST_pass_status_7,NIST_pass_status_8,NIST_pass_status_9,NIST_pass_status_10,NIST_pass_status_11,NIST_pass_status_12,NIST_pass_status_13,NIST_pass_status_14,NIST_pass_status_15,NIST_pass_rate,autocorr_pass_status,autocorr_coefficient,runs_pass_status,runs_p_value
1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,46.666666666666664,1,-0.010433010433010433,0,1.7343016286407368e-25
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100.0,1,-0.000185000185000185,1,0.8524146299491521
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100.0,1,-0.000517000517000517,1,0.6044011711793477
3,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,73.33333333333333,1,0.002125002125002125,1,0.03373219340779384
3,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,73.33333333333333,1,0.004243004243004243,0,2.2238491570265063e-05
3,2,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,80.0,1,0.003915003915003915,0,9.218844054779263e-05
4,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,66.66666666666666,1,0.006481006481006481,0,9.520094652469053e-11
4,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,53.333333333333336,1,0.005619005619005619,0,1.9644960350127768e-08
4,2,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.005287005287005287,0,1.250558408777234e-07
4,3,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.006247006247006247,0,4.464632860026261e-10
5,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.006359006359006359,0,2.1150809302174945e-10
5,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.005975005975005975,0,2.5161153612509223e-09
5,2,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.006455006455006455,0,1.103210227600037e-10
5,3,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.006147006147006147,0,7.969992098969666e-10
5,4,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.007283007283007283,0,3.2899448395287375e-13
6,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,53.333333333333336,1,0.007673007673007673,0,1.7187807570336518e-14
6,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006975006975006975,0,0.0
6,2,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,53.333333333333336,1,0.006919006919006919,0,4.7511465069692665e-12
6,3,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.006575006575006575,0,5.1844222850098595e-11
6,4,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006113006113006113,0,9.964074586634975e-10
6,5,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,53.333333333333336,1,0.006087006087006087,0,1.1655794449430967e-09
7,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006331006331006331,0,2.4760847787984793e-10
7,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009549009549009549,0,1.3226787824297012e-21
7,2,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,60.0,1,0.007523007523007523,0,0.0
