Group,Autocorrelation_Lag1
1,-0.010529010529010528
2,-0.01132101132101132
3,-0.009327009327009327
4,-0.010097010097010096
5,-0.00826100826100826
6,-0.00794900794900795
7,-0.008363008363008363
8,-0.008245008245008244
9,-0.010529010529010528
10,-0.006977006977006977
11,-0.008099008099008098
12,-0.010509010509010508
13,-0.008275008275008275
14,-0.006785006785006785
15,-0.008059008059008058
16,-0.009167009167009167
17,-0.009697009697009698
18,-0.007607007607007607
19,-0.005493005493005493
20,-0.006661006661006661
21,-0.006123006123006123
22,-0.004987004987004987
23,-0.008255008255008255
24,-0.007137007137007137
25,-0.004927004927004927
26,-0.003555003555003555
27,-0.005179005179005179
28,-0.004855004855004855
29,-0.004627004627004627
30,-0.004905004905004905
31,-0.006295006295006295
32,-0.005345005345005345
33,-0.005235005235005235
34,-0.004415004415004415
35,-0.004407004407004407
36,-0.005437005437005437
37,-0.005235005235005235
38,-0.006641006641006641
39,-0.004231004231004231
40,-0.003895003895003895
41,-0.002335002335002335
42,-0.005339005339005339
43,-0.002637002637002637
44,-0.001639001639001639
45,-0.005059005059005059
46,-0.002443002443002443
47,-0.004465004465004465
48,-0.001907001907001907
49,-0.004667004667004667
50,-0.004295004295004295
51,-0.003277003277003277
52,-0.002379002379002379
53,-0.003603003603003603
54,-0.002663002663002663
55,-0.003183003183003183
56,-0.003007003007003007
57,-0.005291005291005291
58,-0.002203002203002203
59,-0.002145002145002145
60,-0.004717004717004717
61,-0.002533002533002533
62,-0.004731004731004731
63,-0.003009003009003009
64,-0.004547004547004547
65,-0.003569003569003569
66,-0.004019004019004019
67,-0.002265002265002265
68,-0.002237002237002237
69,-0.000755000755000755
70,-0.003603003603003603
71,-0.003221003221003221
72,-0.002739002739002739
73,-0.001207001207001207
74,-0.002225002225002225
75,-0.003447003447003447
76,-0.001833001833001833
77,-0.002803002803002803
78,-0.001951001951001951
79,-0.002389002389002389
80,-0.000657000657000657
81,-0.001453001453001453
82,-0.003567003567003567
83,-0.001025001025001025
84,-0.003285003285003285
85,-0.001143001143001143
86,-0.003015003015003015
87,-0.003097003097003097
88,-0.001389001389001389
89,-0.001945001945001945
90,-0.002897002897002897
91,-0.001527001527001527
92,-0.001279001279001279
93,-0.002579002579002579
94,-0.000721000721000721
95,0.000141000141000141
96,0.000531000531000531
97,-0.001583001583001583
98,-0.001463001463001463
99,-0.001111001111001111
100,-0.002533002533002533
