Group,1: Frequency Test,2: Block Frequency Test,3: Run Test,4: Longest Run of Ones Test,5: Binary Matrix Rank Test,6: Spectral Test,7: Non-overlapping Template Test,8: Overlapping Template Test,9: Universal Statistical Test,10: Linear Complexity Test,11: Serial Test,12: Approximate Entropy Test,13: Cumulative Sums Test,14: Random Excursions Test,15: Random Excursions Variant Test
1,1.0,1.0,6.283448081829009e-26,2.5598434640914552e-11,0.482447563292265,0.002775367452757169,1.1459778794709965e-12,1.3588418986903104e-18,0.00019134540986647368,0.6178591926608488,"(1.4920163271072724e-07, False)",5.2969596250871255e-64,"(0.9999999999999998, True)",0.00017793027278335778,0.00018817889351766307
2,0.6469524412678207,1.0,1.0186842291169342e-29,2.5414314976573216e-08,0.9634641121601533,0.4572958480055562,1.1568672368728457e-17,1.2672366520153553e-12,0.0027005346908873565,0.285328264887109,"(0.00011042999875035505, False)",9.94370958576026e-46,"(0.877431563205398, True)",0.6526462427231601,0.6661695324561846
3,0.9108234065714687,1.0,1.0787452977771567e-20,0.002686015734382189,0.7451741099059327,0.7135704037997467,2.4933250872399683e-09,4.0829162017865087e-10,0.8080302178511958,0.23030315015995934,"(0.01228370032016044, True)",2.964886082420115e-26,"(0.9081561792752146, True)",0.594785559561973,0.6889866897124864
4,0.3832083775509474,1.0,5.594049112257037e-24,1.0236340136088391e-05,0.9306840379724934,0.8905174796760388,1.0852396856400491e-15,2.944505384525494e-07,0.5881153057167865,0.8781633643882888,"(0.0021968855072209276, False)",5.0688530849921934e-33,"(0.366247536782506, True)",0.5098582695619662,0.019280172964262838
5,0.6483899782154486,0.999999999999999,1.4300025137202143e-16,0.0017099776892091436,0.5083848804118581,0.6999274279854597,2.594059643494194e-12,3.0608258755789607e-08,0.5920220688797702,0.39321836695482265,"(0.5174431139940671, True)",1.031420298460902e-11,"(0.5331046952895453, True)",0.5196013158916032,0.649638702021373
6,0.3832083775509474,0.9999999999946597,1.8536113527996807e-15,4.453406044614257e-05,0.8114815305212324,0.37834140921736936,1.5743682819989942e-06,1.673243665568553e-09,0.07806045309335305,0.5516095552147446,"(0.0017928837950015625, False)",3.081334282525739e-16,"(0.4376897869238516, True)",0.47265586136489085,0.5920011100471102
7,0.9187566750848488,0.9999999518187455,6.0621526457228e-17,2.0106481455297904e-09,0.926853989356064,0.24384419963477888,3.1700068541101225e-08,9.131297385050367e-10,0.7606279669784226,0.7026922236934798,"(0.15078992250326614, True)",2.4314796940435767e-08,"(0.5032332277808784, True)",0.576736442480932,0.44746639616918266
8,0.057433119632003635,0.9999999388663093,1.5887268032180175e-16,0.19322393764912132,0.7713781150321267,0.5029254012644649,0.0016579478576873026,2.691672133252328e-07,0.011283059304981222,0.905025847509112,"(0.09438708088248261, True)",6.86843755194853e-10,"(0.09929234029872715, True)",0.5585095109871874,0.40988327532377317
9,0.3163435928470907,0.9999986804635452,6.21608441154243e-26,0.0025698423761094154,0.4000503501584478,0.3261494404816976,3.1939305583685163e-07,1.2857607190062334e-08,0.6441903444266527,0.3820585841885348,"(0.5337546372009674, True)",1.1411806301965182e-12,"(0.4100223536530479, True)",0.4448253893769164,0.3648075377383255
10,0.9441936596389577,0.9968676256581265,2.994011471296743e-12,0.30127758110522923,0.43534360707038927,0.7411289766178751,0.0011139460489006253,0.0016458992506406477,0.27104501770670164,0.88663098865844,"(0.6458293189369128, True)",0.00026050211882303086,"(0.9809000016843796, True)",0.6147877572206606,0.5897894684271128
11,0.4260320354042594,0.9999871271061184,5.467137076152394e-16,0.06835261111744179,0.1691528016924705,0.3492648498603944,1.1217501928325173e-09,4.467299007928117e-06,0.5767358043375677,0.029531602012053473,"(0.02161195112823198, True)",1.0414019371165721e-07,"(0.6020174022187176, True)",0.5783740387720632,0.671750998286295
12,0.941010385262194,0.9997719076947451,7.768898983103125e-26,0.00026351360307932996,0.8882216261558915,0.023979919164260826,3.3467052520023284e-07,2.4798445487319074e-07,0.636429474283541,0.7022568079730964,"(0.01930119396470651, True)",0.0001515868600959433,"(0.7289618794952313, True)",0.5336372342133876,0.5009748507681704
13,0.8602939424466919,0.9993816488079097,1.2734860881037872e-16,0.45882219682134606,0.9400053894069451,0.832838521091328,5.978600115396543e-07,5.158796113822494e-05,0.6367477859533592,0.21785539287668118,"(0.14972007480276453, True)",2.1895028790565506e-07,"(0.9447889736603042, True)",0.6095132509587493,0.5428292394614652
14,0.5156922216117295,0.9177783187790295,1.1494592261312755e-11,0.5248799110370943,0.18823817344204882,0.776045999287139,2.7197433347626182e-05,8.448945485114885e-05,0.14114449918804792,0.8289813868547995,"(0.32027221200575134, True)",0.0007757084124322164,"(0.300269412673694, True)",0.406411122116305,0.40304470393117464
15,0.19705065809949573,0.9789933106015208,7.525451148835002e-16,6.371096442427606e-05,0.9907188434454514,0.8543801521964186,0.001843119611437262,6.554396864088726e-05,0.01049854205686752,0.29781575680199296,"(0.2796549022519363, True)",2.2506914127394122e-05,"(0.25450867091644813, True)",0.6048921787665178,0.5519334810916625
16,0.28461930871187846,0.9947938737225988,4.767395501754108e-20,0.0032286820018015178,0.42489972300698886,0.9123145619988895,0.004570139988911712,1.8195183201316714e-05,0.4408957702199635,0.41993229596032744,"(0.28215036595668974, True)",0.008281370385253492,"(0.3419183835890793, True)",0.5232531330266589,0.31387348130825504
17,0.22551238063432788,0.9967208524991639,3.030296309492684e-22,0.2822920630135625,0.9467957805894264,0.5756333336596094,2.1038373056079454e-06,0.0001510113763555155,0.05004589856970462,0.03904118397900082,"(0.11154851893296204, True)",5.5659803517257644e-05,"(0.19262365713435115, True)",0.5079434862430678,0.5397465371296828
18,0.8243138833313567,0.8699756492973626,2.782629324329716e-14,0.3723082483238386,0.14926736889259765,0.04255666707071125,0.0006149266235134452,0.0004862593199599501,0.24672357493418717,0.8106891161400287,"(0.04279989881444364, True)",0.06340331222309253,"(0.8236356044757556, True)",0.4031734965692541,0.6057879456065661
19,0.17894838690288617,0.9548316207298723,3.889072710812868e-08,0.20256708938049872,0.7053600685799786,0.5146975233379074,0.01601695536970324,0.8406431014292871,0.875961775021202,0.6969770335895427,"(0.7752947043082898, True)",0.22142038429808422,"(0.3475697764077097, True)",0.5726624819211467,0.5143879075898732
20,0.7979508373148683,0.9913064785023361,2.7000476573682784e-11,0.4342583099977042,0.7113646073626546,0.14454197085668508,0.19735734291694793,0.01557079846044784,0.3671593950470703,0.2834001841408978,"(0.21313565175128676, True)",0.011148762513080496,"(0.9973490436750467, True)",0.6971340879765761,0.41236085538363787
21,0.22627889288795466,0.8267692194058988,9.041456434086992e-10,0.07160876580170196,0.2817032381381333,0.30405215572309485,0.03954171568297662,0.044999423669791504,0.03687288431056638,0.7670038909182636,"(0.994310091744603, True)",0.044221617113387145,"(0.290208024680325, True)",0.5871353114748804,0.6849229474035992
22,0.8461758819031635,0.9567139540904969,6.099562869044346e-07,0.11326058003944944,0.05056031463584373,0.3352735499324042,0.018100263854956236,0.10980597546855994,0.46189465947901,0.9136847161845082,"(0.7809536687736283, True)",0.8759633487728858,"(0.7765530772517073, True)",0.5297739867703786,0.5252461343117873
